schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,location,salary,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/wayve/product-manager-ai-driver-100393,Wayve,"Product Manager, AI Driver",2026-08-15T17:55:13+00:00,False,Engineering,,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/westwing/trainee-product-engineering-munich-office-100967,Westwing,Trainee Product Engineering (m/f/d),2026-08-15T17:09:32+00:00,False,Engineering,Munich Office,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/unitelabs/senior-python-engineer-platform-libraries-munchen-156082,Unitelabs,"Senior Python Engineer, Platform Libraries (m/f/d)",2026-08-15T17:09:31+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/klickpiloten/ai-automation-engineer-marketing-operations-consulting-in-stuttgart-hamburg-oder-berlin-hybrid-126045,Klickpiloten,"AI Automation Engineer – Marketing & Operations Consulting (m/w/d) in Stuttgart, Hamburg oder Berlin – Hybrid",2026-08-15T17:09:26+00:00,False,Engineering,Stuttgart,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/doctolib/fullstack-software-engineer-react-kotlin-ruby-on-rails-berlin-berlin-129908,Doctolib,"Fullstack Software Engineer  - React, Kotlin & Ruby on Rails (x/f/m)",2026-08-15T11:55:31+00:00,False,Engineering,"Berlin, Berlin",,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/moss/applied-ai-engineer-berlin-395031,Moss,Applied AI Engineer,2026-08-15T11:40:13+00:00,False,Engineering,Berlin,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-strategy-senior-consultant-munchen-115453,Trusteq Gmbh,AI Strategy (Senior) Consultant (m/w/d),2026-08-15T11:09:30+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-security-senior-consultant-munchen-283182,Trusteq Gmbh,AI Security (Senior) Consultant (m/w/d),2026-08-15T11:09:30+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-governance-senior-consultant-munchen-224632,Trusteq Gmbh,AI Governance (Senior) Consultant (m/w/d),2026-08-15T11:09:30+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-senior-developer-munchen-47583,Trusteq Gmbh,AI (Senior) Developer (m/w/d),2026-08-15T11:09:30+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-senior-consultant-munchen-174178,Trusteq Gmbh,AI (Senior) Consultant (m/w/d),2026-08-15T11:09:30+00:00,False,Engineering,München,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/emil-group-gmbh/senior-software-engineer-x-ai-enabled-insurance-platform-berlin-417851,Emil Group Gmbh,(Senior) Software Engineer (f/m/d/x) AI-Enabled Insurance Platform,2026-08-15T08:09:34+00:00,False,Engineering,Berlin,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/escape/remote-security-advocate-ai-appsec-75786,Escape,Security Advocate | AI AppSec,2026-08-15T09:40:17+00:00,False,Engineering,Remote,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/technical-lead-machine-learning-london-207981,Bjak,"Technical Lead, Machine Learning",2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/staff-machine-learning-engineer-london-431496,Bjak,Staff Machine Learning Engineer,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/engineering-manager-ai-payments-app-london-300380,Bjak,Engineering Manager - AI Payments App,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/lead-engineer-ai-payments-app-london-6836,Bjak,Lead Engineer - AI Payments App,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/engineering-manager-ai-native-email-app-london-493810,Bjak,Engineering Manager - AI-Native Email App,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/engineering-manager-ai-payments-app-london-30501,Bjak,Engineering Manager - AI Payments App,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/lead-engineer-ai-native-email-apps-london-229802,Bjak,Lead Engineer - AI-native Email Apps,2026-08-15T09:40:11+00:00,False,Engineering,United Kingdom,,2026-08-15T19:33:01.978753+00:00Z
