schemaVersion,recordType,source_name,source_url,entityName,employeeCount,founded,location,totalFunding,category,collectedAt
1.0,STARTUP,HuggingFace,https://huggingface.co/Qwen,Qwen,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/facebook,facebook,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/trl-internal-testing,trl-internal-testing,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/openai-community,openai-community,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/nvidia,nvidia,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/unsloth,unsloth,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/meta-llama,meta-llama,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/openai,openai,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/deepseek-ai,deepseek-ai,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/farbodtavakkoli,farbodtavakkoli,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/google,google,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ornith-ai,ornith-ai,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/dphn,dphn,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/hmellor,hmellor,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ibm-granite,ibm-granite,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/EleutherAI,EleutherAI,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/zai-org,zai-org,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/TinyLlama,TinyLlama,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/RadixArk,RadixArk,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/distilbert,distilbert,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/vikhyatk,vikhyatk,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/HuggingFaceTB,HuggingFaceTB,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/prism-ml,prism-ml,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/bigscience,bigscience,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/microsoft,microsoft,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/QuantTrio,QuantTrio,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ibm-research,ibm-research,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/apple,apple,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/antirez,antirez,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/nm-testing,nm-testing,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mistralai,mistralai,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/sshleifer,sshleifer,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Bahushruth,Bahushruth,,,,,AI/ML Organization,2026-08-15T19:26:50.640149Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cross-encoder,cross-encoder,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/BAAI,BAAI,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ProsusAI,ProsusAI,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cardiffnlp,cardiffnlp,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/daekeun-ml,daekeun-ml,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Alibaba-NLP,Alibaba-NLP,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/finiteautomata,finiteautomata,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/jinaai,jinaai,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/pysentimiento,pysentimiento,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/TrustSafeAI,TrustSafeAI,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/SamLowe,SamLowe,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/MoritzLaurer,MoritzLaurer,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/lxyuan,lxyuan,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/nlptown,nlptown,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/yiyanghkust,yiyanghkust,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/livekit,livekit,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/neuralbioinfo,neuralbioinfo,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/papluca,papluca,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ElKulako,ElKulako,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mixedbread-ai,mixedbread-ai,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/boboliu,boboliu,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Xenova,Xenova,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ncbi,ncbi,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/j-hartmann,j-hartmann,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/MilaNLProc,MilaNLProc,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/circulus,circulus,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Arunavaonly,Arunavaonly,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/E-MIMIC,E-MIMIC,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/protectai,protectai,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
